Index,Review,Prof Rating,Course Rating,Overall Rating,Course Name
17,"Her lectures goes very deep with respect to underlying math. Kinda gives you great background in ML and how to read reach papers. The projects were to implement ML algorithms from scratch which solidifies your mathematical understanding with Coding component. Quizzes were challenging, overall, She is one of the best professor to take a course with!",4,3,3,Comp 551
18,Very heavy course with a lot of quizzes. Material was fairly tricky but she did a reasonable job at trying to explain it. Assignments were interesting and not marked too harshly.,2,2,3,Comp 551
19,"The positive reviews are inexplicable. Do not expect to learn anything in this course. His slides are dense, unexplained math formulas with non-standard variable names. The final was 24 multiple choice questions with answers being slight changes to definitions provided a single time on a single slide. Final review sheet had 3 unanswerable questions",1,1,1,Comp 551
20,"He is the least enthusiastic, tired professor I've had. He doesn't explain anything and talks in volume 1/10. He really doesn't care. The classes don't do anything. You are really on your own. Read the textbook and the slides and hope for the best. That's it.",1,0,0,Comp 551
21,Worst course I have ever taken. She obviously has no time nor care to teach. Easy A as she doesn't care to deal with unhappy students.,1,1,1,Comp 579
22,"hello and welcome to Doina Precup as a prof LOL. She may be a titan in her field but she’s an irresponsible and neglectful teacher. Not trying to be harsh it is fact based on a bunch of stuff. I could go on but….all I’ll say is don’t rely on her.Just have some understanding for the poor TAs because I guarantee they are running the course more than Precup, and trying their best when the prof isn’t doing what she’s supposed to. (And no I’m not a TA so it’s not that bias)",1,2,1,Comp 579
23,Worst course I have ever taken. She obviously has no time nor care to teach. Easy A as she doesn't care to deal with unhappy students,0,0,1,Comp 579
24,"I took COMP 206 with Vybihal last year and did not like him as a prof. However, he seemed to have more energy/engagement with the class when teaching 273. I grew to like him a lot, as he is genuinely very nice and accommodating. On the other hand, his lectures are very disorganized and slow. I found all his assessments quite simple though",3,2,2,Comp 273
25,"Clarifications. Clarifications. Clarifications. Every assignment and exam has corrections, clarifications, and apologies, because it's never clear what he wants from you. Also not an engaging lecturer, though he does have a good grasp of the material, and if you can stand him then you stand to learn a lot from him.",1,2,2,Comp 273
26,"As a person, he's really nice and genuinely tries to make students understand but unfortunately the guy doesn't know how to teach. Incredibly boring lectures, with 30mins spent on explaining a simple concept that you'll still have to self educate on and makes tough assignments and midterms while expecting us to know stuff which he never taught.",2,1,2,Comp 273
27,"By far the worse instructor I've ever encountered at McGill. Only class where I had to attend lectures, re-watch all the lecture recordings twice, do all tutorials and still do poorly. Vibihal slides are mostly incomplete, full of mistakes, assg' s and tests are poorly worded and confusing. Very few useful examples. Avoid at all costs.",0,1,1,Comp 273
28,"The content was extremely interesting but unfortunately the professor's vagueness made it almost a pain. Exam questions were poorly worded and relevant assignments were only graded post-exams, so you couldn't use them to study. I think that this could be a fantastic course if the questions on assignments and exams were just a bit clearer. .",2,3,2,Comp 273
29,"Genuinely such a good prof. 273 is a hard class and MIPS is obviously wack, but he makes it pretty fun.",4,3,4,Comp 273
30,"I'm in between a 2 and a 3. Assignments are absurdly long, but are also long-term beneficial. If only he clarified the suspect PDFs in a timely manner. For 273, he curves the average up to B+ (minimum), so can't complain much. Average lecturer, uninspiring and a bit disorganized but adequate. Nice in lectures and office hours, condescending online.",3,2,2,Comp 273
31,"His assignments are super tough but to be fair to him, he is pretty accessible and presents the material in a clear and concise way, even though it is clear that this course has nothing to do with what he researches or what interests him, he still tries to be engaging by always encouraging students to ask questions during lectures. (soothing voice)",4,3,4,Comp 273
32,"I'm in my last year and have taken a number of higher level COMP courses and this course was still without a doubt the most heavy in work load. Assignments are completely unfair, riddled with errors that they don't bother correcting until days before the assignment is due. The class on average spends 40 hours on each assignment worth 5-7.5 percent.",1,1,1,Comp 273
33,"Kaleem really cares about whether his students understand or not, and he always tried to be available to help and answer questions. The course material was not overly difficult but the assignments took SO LONG (idk if other profs for COMP273 are better with this though). Exam was easier than expected. But yeah, the assignments were the worst.",4,3,3,Comp 273
34,"Very clear and well made lectures, adapted very well to online learning. Definitely a content heavy class but I learned a lot and never felt overwhelmed.",-1,4,3,Comp 273
35,"Terrible teacher, has no empathy for his students, clearly only has this Job so he can continue doing research at mcgill.",0,-1,0,Comp 273
36,"His teaching ability is good, but his 3rd homework absolutely destroyed me. He claims to care about your learning, but makes you work so hard that you can't focus on your other classes well. He's part of those who think ""harder is always better"", but forget that you have other stuff to do too. As a result, my semester learning experience was poor.",2,2,2,Comp 273
37,"Ridiculus is the only suitable word. He doesn't allow final to replace midterm, gave us a practice midterm containing MCs but made us write mips code on paper in midterm. Makeup policy is extremely unfair, after our complains about the midterm on Ed, other students know what to expect on makeup midterm. And his assignments take forever to do!",1,-1,1,Comp 273
38,"Lectures pretty fast paced, assignments long and time-consuming, but grading is alright. comp273 is suck, but his lectures make it less boring",3,1,2,Comp 273
39,"Not the best professor in terms of teaching, but okayish. Nice person",2,-1,2,Comp 273
40,"The course material was pretty difficult but he explained well and often stopped the lecture to provide examples which I found to be helpful. You absolutely do not need to go to class, I pretty much watched the recordings for the entire semester. The assignments were cool and not too hard and if you do well then you can do well easily.",4,3,3,Comp 273
41,"This professor's classes are incredibly easy to understand, and the professor is very accessible outside of class (I posted a question on Ed on a Sunday and he replied within the hour).",4,-1,3,Comp 273
42,"Honestly, I didn't find his lectures very clear. He goes through the slides as if someone else wrote them and he doesn't know what's going to come next. His explanations aren't very organized. Fair evaluations though.",1,-1,1,Comp 273
43,"His voice is SO SOOTHING!!! I absolute hate comp273, more than anything. But the only thing that I took from it is that Paul Kry is an awesome professor and I wish I was more interested in the material to really appreciate him. Lovely lovely prof who always want to help you succeed",4,1,3,Comp 273
44,"Has the voice of a voice actor. Passionate about the topics, I enjoyed his inverted classrooms and the coding practices. Assignments are reasonable, tests are multiple choices and fairly easy (compared to other classes)",4,4,4,Comp 273
45,"The lecture is clear. The assignments are long and time consuming. The exams focus on the contents taught in the lectures, so attending classes or going through all the recordings are recommended. Overall nice professor with clear lectures.",4,3,3,Comp 310
46,"I heard a lot of bad things about this class before taking it. But i ended up enjoying it very much. This class does require tons of work, but prof explains the material clearly! Learned a lot by taking this class. Just make sure you have enough time to focus on reviewing for the exams and doing assignments.",3,2,3,Comp 310
47,"The lectures do not prepare you for the assignments. Assignments require high comfort level of C, which is not taught. The slides have countless typos, are generally confusing, and are just not enough to answer certain exam questions.",1,0,1,Comp 310
48,"Assignments are really heavy and take a long time. Lectures are a bit boring but I think he realized the weight of the tasks and made 1 assignment and 1 midterm optional(this helped a lot). Note: I think the exams were heavy on memorizing everything, not that much creative application.",2,1,2,Comp 310
49,Lectures are quite useless for the exams and assignments. This class has some important and interesting material but I did not enjoy this class at all.,1,1,1,Comp 310
50,This course was death,-1,0,0,Comp 310
51,"Ridiculous Assignments. ""It's normal you don't know how to do it"" -Mahesh",1,1,1,Comp 310
52,"Do not take this course unless you have a strong background in C and are willing to spend dozens of hours debugging your assignment with little to no guidance. The course covers a lot of interesting topics, but the lectures are only meant to explain these topics conceptually. Exams are unreasonably difficult and assignments are unreasonably long.",1,1,1,Comp 310
53,Learned a lot. Never showed up to class because it was online and recorded. The three midterms were the only reason I stayed caught up to date on lectures. Had a couple hard questions on midterms but he curved to account for it. Assignments take a lot of work but taught me lots of useful C skills.,2,3,2,Comp 310
54,"He gives too much work, too many exams, the exams are too hard. He doesn't realize how much work he really gives.",1,0,1,Comp 310
55,"The exams are unfairly hard that we get tested on things that have barely been covered in class, the instruction of assignments was unclear and questions to course materials remain unanswered for weeks from TA and prof. My only suggestion is DO NOT TAKE ANY COURSE WITH THIS PROF",0,0,0,Comp 310
56,"Hard and long assignments, easy exams. I've taken 310 and 202 with him. His assignments are hard and take a while, but he is such an incredible teacher that it makes up for it. He is always so accessible outside of class, even with the TA strike and big class, he answered questions within hours. Love him, when I see his name I take the class.",4,3,3,Comp 310
57,"A absolute gem of a prof. I went in blind, not knowing what to expect, having never had him, and I came out truly inspired by the work and effort he put in the class. He is truly one of the greatest prof I've had and sadly the word limit on the review prevent me from describing all his iconic moments. but trust if u have the chance to have him, do",4,-1,3,comp 310
58,Great professor! Really cares about his students and wants to make the class the best possible experience for everyone taking it,4,-1,3,Comp 310
59,Easily one of the best CS prof I have in McGill. His assignment might be too hard for 200 level but for a 300 level course he is amazing. The most caring prof I ever seen (answer question in 2am),4,-1,3,Comp 310
60,"This professor cares about the subject and his priority is his students' learning. He is very active and does everything in his power to make the course fun and interesting! I only took this course because I saw it was taught by Jonathan and have no regrets. Would recommend taking any courses he teaches, and recommend participating in the course!",4,-1,4,Comp 310
61,"If you can, take whatever course this man is teaching. An absolute gem of a professor and I feel extremely lucky to have been taught by him in two separate courses during my undergraduate degree. You don't notice just how much a good professor influences a class until you have one as great as JCC.",4,-1,3,Comp 310
62,Inspiring person,4,-1,3,Comp 310
63,Taking this class during the one semester he was teaching it felt like a privilege.,4,-1,3,Comp 310
64,Really enjoyed the course,-1,5,3,Comp 310
65,His unconventional teaching style is a breath of fresh air at McGill. I don't think I have ever seen someone put this much effort into teaching a course. Assignments are very long and challenging but if you do them well its not hard to get a good grade in the course.,4,2,3,Comp 310
66,"Prof. Campbell is the reason why I switched into CS. He is extremely invested in his teaching, somehow manages to make lectures and assignments engaging despite the dryness of the subject. This course was challenging, but just like with 202 I feel as though I have learned a lot more from it than any other course",4,2,3,Comp 310
67,Actually the best prof at McGill!! This was my second class with him and he makes learning so fun!,4,-1,3,Comp 310
68,"What is there to say about JCC that hasn't already been shouted from the heavens? JCC is the hardest working, most caring, and downright hilarious profs I've ever had the pleasure of learning from. He will probably never teach COMP310 again, but, god damn, if he ever does, drop everything and take it with this gem of a human.",5,-1,3,Comp 310
69,"Deeply passionate professor and very effective teacher. Assignments are on point to get you to practice for the exams, exams are easy and are effective at testing understanding of the material.",4,4,4,Comp 330
70,"Great prof! Midterm and final were much easier than the homework, which we had 6 of. Personally, I loved the first half of the course (DFA's, regexp, pumping lemma, CFL's) but the last half (reductions, computability) was really hard. Everything was very fair and plus lectures are recorded.",4,3,3,Comp 330
71,"Prof Prakash is a very fair prof. He manages to convey his love for automata theory clearly and get us to understand why this subject matters, even if you're not math savvy. Seems quite harsh at first but his attitude helps to get a rigorous sense of thinking about this subject. Respectable and funny and his TAs were perfect.",4,-1,3,Comp 330
72,"Great professor, great lectures, and great assignments/exams. Just don't ask any questions or he'll get mad for some reason.",3,3,2,Comp 330
73,"Theory of computation is not an easy class, but he makes it very easy. He writes the notes in class which is amazing, and it feels more engaging rather than just going over slides. We did have 6 assignments, a midterm and a final. He told us before hand what to expect from the final and allowed a 10 page crib sheet. An overall great expereince!",4,1,3,Comp 330
74,"Overall, he's a very competent prof. Only problem is that he can be quite rude and judge people in front of everyone for asking bad questions, which is something that is only inevitable given the difficulty of the course content. This consequently made for somewhat of a hostile atmosphere. Overall, COMP 330 was fair with him though.",3,2,2,Comp 330
75,"Professor Prakash is one of the best comp sci professors at McGill, by far. He's a bit sassy, but it only makes it more interesting. His lectures are sometimes hard to follow, and the material isn't easy. But if you put in the time, you'll do fine. The assignments are really hard, but his exams are super fair. I totally recommend it!",4,3,3,Comp 330
76,"He is extremely passionate about education and it shows. He teaches in a way that sparks curiosity which makes you want to learn more on your own or from him in office hours. The material was never made more difficult than necessary, and I felt like I got a lot out of this course. Overall one of the best profs I've had.",4,3,4,Comp 330
77,"I'm super sad that Prakash is not going to teach COMP302 anymore ! if i'd knew, then i'd have taken it before ! And for COMP330, Prakash is super nice. he sometimes scream at students but i love him anywway",3,-1,3,Comp 330
78,"One of my favorite classes at McGIll. Made me think and love computer science in a way I hadn't before. He is fantastic. But he always doesn't mess around. Go to class, pay attention, don't cheat.",3,3,3,Comp 330
79,He is not decidable as well as coCE during office hours.,1,-1,1,Comp 330
80,lowkey best lecturer I had at mcgill. Lowkey amazing teacher.,4,-1,3,Comp 330
81,The best instructor so far. He takes care of students and always tries his best to deliver a clear explanation. Make sure to go to his office hours!!,4,-1,3,Comp 330
82,Cesare is a gem in the cs department. At McGill its very easy to get an instructor who very clearly does not want to teach at all or who is awful at it. He is neither. I personally found the course material very interesting but if you arent interested in it him teaching it makes it a good class to take because many courses are poorly taught.,4,3,3,Comp 330
83,He is very good even though it was only his first semester teaching the course. Assignments are difficult but he gave out many hints during OH. So make sure to go! Definitely would recommend his class.,4,3,4,Comp 330
84,"Really nice guy. Super approachable. Assignments are not easy but after going to OH + discussing with other classmates you get many different perspectives, which helps with understanding the content. On top of all this, it was his first semester teaching an entire course, and he still taught 10x better than many professors with years of experience.",4,3,4,Comp 330
85,"Absolutely amazing lecturer. Cesere has been the most approachable and engaging COMP lecturer I have had at McGill. I never thought I would enjoy the theoretical aspect of computer science but this class has been by far the most enjoyable of my degree. He holds many office hours, making sure you understand all the details. Gonna miss him next sem",4,3,4,Comp 330
86,"One of the best CS profs for sure! The assignments are a bit lengthy, but they are extremely helpful to do well on the exams, and just learning in general. He is very commited to make the class interesting, with an italian idiom every lecture and also, making sure that even students who missed a lecture have access to all the class contents. 10/10",4,3,4,Comp 330
87,"Greatest of all time, fastest marker in the west, David Becerra-level quality CS prof. Human embodiment of that one 2009 GameFAQs guide that singlehandedly carried you through Monster Hunter Tri. Honest about what's on the exams, and provides great review material. Accept no substitute for Comp 330.",4,-1,3,Comp 330
88,honestly felt more like being tutored by a friend than a prof. he was the absolute kindess and sweetest prof i've ever had. made comp 330 bearable,4,3,4,Comp 330
89,"He gave a lot of office hours, which help a lot for the assignments. Assignments are very difficult(but prepares well for tests) so make sure to start early, but if you go to his office hours he will give a lot of hints. We did our final yesterday, and grades are already out today, which is pretty fast. His lectures are amazing!",4,2,3,Comp 330
90,"The course content is not easy, but he teaches in a way that allow students to understand very quickly. His assignments and review session are both very helpful for the final, and they are very similar to the questions in the final. So, make sure to understand them if you want to do well in the final. Definitely would recommend him.",4,2,3,Comp 330
91,Well. She curves a lot so you got probably an A.,4,-1,2,Comp 424
92,"Joelle Pineau is the best CS professor I've had at McGill. She is very professional and very clear. She does her best to explain the material and wants you to learn. She answers e-mails, doesn't look down on students and encourages everyone to participate. Though, she makes you work for it quite a bit. Expect more HMW than a normal 3 cr. course.",4,2,3,Comp 424
93,"Joelle speaks like a textbook. This is impressive but unhelpful - she often failed to simplify the material and provide concrete examples. At least half the course was pure math and probability. Her slides make it very clear what you need to know though, so watch online lectures. The AI tournament was a great project though. Very worthwhile class.",2,3,3,Comp 424
94,"Lectures can be a bit dry, but definitely go see her outside of class because she explains things very clearly then. One of the better Comp Sci profs @ McGill. The assignments can be kind of a pain though.",3,2,2,Comp 424
95,"Professor and lectures were very interesting, well organized, and easy to follow. Exams were slightly difficult, but fair. Weekly assignments required too much work for a 3-credit course, but the grading distribution allowed you to skip/not count almost half of them.",4,3,3,Comp 424
96,"AI was FUN,clear assignments, PERFECTLY structured course, fair midterm, very good slides, explains the stuff really good, know what whe is talking about, very helpfull out of the class, flexible, late assignment? she repesct your excuses, easy to follow, is an asset for McGill",4,4,4,COmp 424
97,Pretty good Prof. Course was well structured. Assignments weren't overly difficult and exams weren't too bad either as they were take homes. Lectures were decent.,4,4,4,Comp 424
98,"everytime a student has a question notice how he says yaaah, was worth going to class just to class to hear him say that, good prof all around",3,-1,2,Comp 424
99,"Jackie's an awesome dude and amazing professor. I've seen people complain that he sticks close to the lecture slide content: That's mostly because Comp 424 has so much content there's not much time to deviate from the course schedule. The final project was the coolest project I've ever done, and Jackie is a boss.",4,4,4,Comp 424
100,Basically just reads the slides made by another professor. Assignments are long and unclear. Too much material squeezed at the end of the semester. Final was fair.,2,2,2,Comp 424
101,"This is his second year teaching this course but he just read other prof's slides in the most boring tone ever ( If you think Vybihal is the most boring prof in comp sci then you should definitely check on this one ). Assignment gradings are confusing, material's heavy. GitHub is your friend.",1,1,1,Comp 424
102,"Not even halfway through the course, this guy sucks. Spends an hour and a half reading summary slides that he didn't even make. Save your time and read the textbook because he is a useless lecturer.",1,-1,0,Comp 424
103,"The most disorganized prof I've ever had. December was filled with 3 assignments while for two months of the semester, he put nothing out because ""he's working on it"". Took forever to release the project even though it's pretty much the same as last sem. This class could be better if taught by a prof who is passionate and on top of their stuff.",1,1,1,Comp 424
104,"before the final exam. For the entire first 2 months,only 2 assignments then the last 3weeks, one project one assignment 2 study report due the same week. Super disorganized, awful experience. Seems he doesn't pay attention for this course at all. Content is great, but he made it worst",1,1,1,Comp 424
105,Do not take him ! Final so difficult a lot of assignments projects at the end of the semester. Do not take him if you can avoid.,0,0,0,Comp 424
106,Just No. Do not take this class witht his prof. Spare yourself.,0,-1,1,Comp 424
107,Uninspiring lectures and very disorganized. This class would definitely be easier if it was taught by someone with more enthusiasm. The other review on December 10 sums it up pretty well.,1,1,1,Comp 424
108,"He only gave us 2 assignments to do for two whole months. Then in the final month where we have to study for finals, he posted group assignments, group project, assignmnent all at once, which I found pretty heavy. Even though it's the end of the semester, we still haven't gotten graded assignments. Lectures are pretty heavy.",0,1,1,Comp 424
109,ChatGPT can teach this course better than this guy. Probably grades faster too.,0,-1,1,Comp 424
110,"Office hours are very useful with him. Assignments are easy/fair and are directly linked to his notes. Project was graded fairly and depended on how much work you put in. Course was pretty disorganized, prof still tried his best to accommodate everyone (extensions, removing quizzes) Late grading (don't expect to get anything back in 2 weeks)",4,2,2,Comp 424
111,"Prof Li is a great lecturer, super considerate of his students, and overall very kind. His exams were quite fair despite the difficulty of the content. Highly recommend him for COMP 551!",5,4,3,Comp 551
112,It's hard to explain complex things in simple words and this Prof knows how to do it. Highly recommended!,3,4,4,Comp 551
113,"tbh those giving him bad ratings in for comp 551 are just mad they didn't do well in this class. Its a 4 credit 500-level class, of course its not easy and a lot of work. His lectures are great. He has really nice slides and he is always available. Overall, great teacher. Just a really hard class.",4,2,3,Comp 551
114,"machine learning comp551 is a very useful course but also very difficult , but he explained the concept very well . the midterm was a bit tough.",3,4,3,Comp 551
115,"Was always well prepared for lectures and did a comprehensive job at preparing the learning materials and organizing the class. Really made an effort to make the theory as well as the implementations approachable. This course was math heavy, but the professor made sure to go through all of it step by step. The recorded lectures were very helpful.",3,-1,3,Comp 551
116,I really enjoyed taking COMP551 with Professor Li! He is a great instructor and his explanations are clear. The assessments (exams and assignments) were fair. Highly recommend!,4,3,3,Comp 551
117,"Sorry but these other reviewers of COMP551 are already gifted. This course is extremely math and theory focused. Huge derivations were given in lectures as form of ""explanation"". Yes, the assignment extensions were great but for each assignment, only 2 TAs are grading and all other TAs can't help you. Final exam was fair though. Caution, math heavy",-1,2,2,Comp 551
118,"Professor Li is very caring for his students, and his exams are fair and reasonable to complete. He always listens to his students and keeps improving himself! Thank you Professor Li for a great semester!",4,-1,3,Comp 551
119,"Caring professor. The fair midterm (20% open-book), weekly 1% quizzes, and research-type assignments (40%) allow you to show up on the final (also open-book) knowing you already passed the class. He lets students ask questions in lectures and often goes back on previous material as a reminder. Part of the assignments are graded based on creativity.",3,-1,3,Comp 551
120,"Absolutely agree that he's a great professor. The assignment extensions are god-like, lecture slides were informative and organized. He pause at good timing to answer questions. I wish every professor was like him, it would make university a lot easier!",5,-1,3,Comp 551
121,"Great, great prof. His lectures were very well organized and thorough, and he always went out of his way to ensure we understand the content. The assignments were very well made and very useful. He's also incredibly accommodating in terms of deadlines. I can only recommend him!",5,-1,3,Comp 551
122,"You have quizzes and 3 or 4 projects. You can do the quizzes several times. All of the projects with Python and implement them from scratch. It is necessary to study the recorded videos of the class several times. The professor will post sample questions, check them, and quizzes because the main exam is similar to the same questions.",-1,3,3,Comp 551
123,"Curriculum is well thought through, slides are high quality, and online resources are abundant. Group projects were required, which can be annoying, but the assignments themselves were very interesting and enjoyable.",-1,3,2,Comp 551
124,Does not explain the lecture clear enough. A lot of typo in the slides.,0,-1,1,Comp 551
125,"Definitely take COMP 551 with her! The lectures dig into some of the math behind ML. She is also very available outside of class, which is great since this course touches upon many (demanding) topics.",3,-1,3,Comp 551
126,I have never met this kind of irrational professor who gave us a lengthy midterm.,1,-1,1,Comp 551
127,"Her lectures goes very deep with respect to underlying math. Kinda gives you great background in ML and how to read reach papers. The projects were to implement ML algorithms from scratch which solidifies your mathematical understanding with Coding component. Quizzes were challenging, overall, She is one of the best professor to take a course with!",3,3,3,Comp 551
128,Very heavy course with a lot of quizzes. Material was fairly tricky but she did a reasonable job at trying to explain it. Assignments were interesting and not marked too harshly.,-1,2,3,Comp 551
129,"The positive reviews are inexplicable. Do not expect to learn anything in this course. His slides are dense, unexplained math formulas with non-standard variable names. The final was 24 multiple choice questions with answers being slight changes to definitions provided a single time on a single slide. Final review sheet had 3 unanswerable questions",1,1,1,Comp 551
130,"He is the least enthusiastic, tired professor I've had. He doesn't explain anything and talks in volume 1/10. He really doesn't care. The classes don't do anything. You are really on your own. Read the textbook and the slides and hope for the best. That's it.",1,0,0,Comp 551
131,Worst course I have ever taken. She obviously has no time nor care to teach. Easy A as she doesn't care to deal with unhappy students.,1,1,1,Comp 579
132,"hello and welcome to Doina Precup as a prof LOL. She may be a titan in her field but she’s an irresponsible and neglectful teacher. Not trying to be harsh it is fact based on a bunch of stuff. I could go on but….all I’ll say is don’t rely on her.Just have some understanding for the poor TAs because I guarantee they are running the course more than Precup, and trying their best when the prof isn’t doing what she’s supposed to. (And no I’m not a TA so it’s not that bias)",1,2,1,Comp 579
133,Worst course I have ever taken. She obviously has no time nor care to teach. Easy A as she doesn't care to deal with unhappy students,0,0,1,Comp 579
134,"I took COMP 206 with Vybihal last year and did not like him as a prof. However, he seemed to have more energy/engagement with the class when teaching 273. I grew to like him a lot, as he is genuinely very nice and accommodating. On the other hand, his lectures are very disorganized and slow. I found all his assessments quite simple though",3,2,2,Comp 273
135,"Clarifications. Clarifications. Clarifications. Every assignment and exam has corrections, clarifications, and apologies, because it's never clear what he wants from you. Also not an engaging lecturer, though he does have a good grasp of the material, and if you can stand him then you stand to learn a lot from him.",1,-1,2,Comp 273
136,"As a person, he's really nice and genuinely tries to make students understand but unfortunately the guy doesn't know how to teach. Incredibly boring lectures, with 30mins spent on explaining a simple concept that you'll still have to self educate on and makes tough assignments and midterms while expecting us to know stuff which he never taught.",2,1,2,Comp 273
137,"By far the worse instructor I've ever encountered at McGill. Only class where I had to attend lectures, re-watch all the lecture recordings twice, do all tutorials and still do poorly. Vibihal slides are mostly incomplete, full of mistakes, assg' s and tests are poorly worded and confusing. Very few useful examples. Avoid at all costs.",0,1,1,Comp 273
138,"The content was extremely interesting but unfortunately the professor's vagueness made it almost a pain. Exam questions were poorly worded and relevant assignments were only graded post-exams, so you couldn't use them to study. I think that this could be a fantastic course if the questions on assignments and exams were just a bit clearer. .",1,3,2,Comp 273
139,"Genuinely such a good prof. 273 is a hard class and MIPS is obviously wack, but he makes it pretty fun.",4,3,4,Comp 273
140,"I'm in between a 2 and a 3. Assignments are absurdly long, but are also long-term beneficial. If only he clarified the suspect PDFs in a timely manner. For 273, he curves the average up to B+ (minimum), so can't complain much. Average lecturer, uninspiring and a bit disorganized but adequate. Nice in lectures and office hours, condescending online.",3,2,2,Comp 273
141,"His assignments are super tough but to be fair to him, he is pretty accessible and presents the material in a clear and concise way, even though it is clear that this course has nothing to do with what he researches or what interests him, he still tries to be engaging by always encouraging students to ask questions during lectures. (soothing voice)",4,3,4,Comp 273
142,"I'm in my last year and have taken a number of higher level COMP courses and this course was still without a doubt the most heavy in work load. Assignments are completely unfair, riddled with errors that they don't bother correcting until days before the assignment is due. The class on average spends 40 hours on each assignment worth 5-7.5 percent.",1,1,1,Comp 273
143,"Kaleem really cares about whether his students understand or not, and he always tried to be available to help and answer questions. The course material was not overly difficult but the assignments took SO LONG (idk if other profs for COMP273 are better with this though). Exam was easier than expected. But yeah, the assignments were the worst.",4,3,3,Comp 273
144,"Very clear and well made lectures, adapted very well to online learning. Definitely a content heavy class but I learned a lot and never felt overwhelmed.",-1,4,3,Comp 273
145,"Terrible teacher, has no empathy for his students, clearly only has this Job so he can continue doing research at mcgill.",0,-1,0,Comp 273
146,"His teaching ability is good, but his 3rd homework absolutely destroyed me. He claims to care about your learning, but makes you work so hard that you can't focus on your other classes well. He's part of those who think ""harder is always better"", but forget that you have other stuff to do too. As a result, my semester learning experience was poor.",2,2,2,Comp 273
147,"Ridiculus is the only suitable word. He doesn't allow final to replace midterm, gave us a practice midterm containing MCs but made us write mips code on paper in midterm. Makeup policy is extremely unfair, after our complains about the midterm on Ed, other students know what to expect on makeup midterm. And his assignments take forever to do!",1,-1,1,Comp 273
148,"Lectures pretty fast paced, assignments long and time-consuming, but grading is alright. comp273 is suck, but his lectures make it less boring",3,1,2,Comp 273
149,"Not the best professor in terms of teaching, but okayish. Nice person",2,-1,2,Comp 273
150,"The course material was pretty difficult but he explained well and often stopped the lecture to provide examples which I found to be helpful. You absolutely do not need to go to class, I pretty much watched the recordings for the entire semester. The assignments were cool and not too hard and if you do well then you can do well easily.",4,3,3,Comp 273
151,"This professor's classes are incredibly easy to understand, and the professor is very accessible outside of class (I posted a question on Ed on a Sunday and he replied within the hour).",4,-1,3,Comp 273
152,"Honestly, I didn't find his lectures very clear. He goes through the slides as if someone else wrote them and he doesn't know what's going to come next. His explanations aren't very organized. Fair evaluations though.",1,-1,1,Comp 273
